ID,HOSPITALID,HOSPITALNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,PHONE
1177,1177,DEACTIVATED MPG PG STE 223,315 E OLYMPIA AVE STE 223,,PUNTA GORDA,FL,33950,Visits cannot be scheduled online right now.
1178,1178,DEACTIVATED MPG SJC STRINGFELLOW RD,10484 STRINGFELLOW RD,,SAINT JAMES CITY,FL,33956,Visits cannot be scheduled online right now.
1179,1179,Millennium SC Script Hospital (INACTIVE),TBD,,,,,Visits cannot be scheduled online right now.
1180,1180,Millennium SC Script Hospital (INACTIVE),TBD,,,,,Visits cannot be scheduled online right now.
1181,1181,Millennium SC Script Hospital (INACTIVE),TBD,,,,,Visits cannot be scheduled online right now.
1182,1182,DEACTIVATED Telehealth ,123 Main St.,,Anytown,NY,00000,Visits cannot be scheduled online right now.
1183,1183,BetterMed Urgent Care- Ashland,300 N Washington Hwy.,,Ashland,VA,23005,804-537-2905
1184,1184,DEACTIVATED MD Anderson - Thoracic &amp; Orthopaedic Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1185,1185,DEACTIVATED MD Anderson - Sarcoma Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1186,1186,DEACTIVATED MD Anderson - Endocrine Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1187,1187,DEACTIVATED MD Anderson - Melanoma &amp; Skin Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1188,1188,Practice Velocity Sandbox Environment,8777 Velocity Drive,,Machesney Park,IL,61115,866-995-9863
1189,1189,Children's Urgent Care at Delafield,3195 Hillside Drive,,Delafield,WI,53018,(262) 646-9977
1190,1190,DEACTIVATED MD Anderson - Head and Neck Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1191,1191,DEACTIVATED Careworks Bellefonte,174 Buckaroo Ln.,,Bellefonte,PA,16823,We’re sorry! Currently no online slots are available. Walk-ins only until closing time today.  Please visit mycareworks.com for normal business hours or to find another clinic near you. Thank you for choosing Careworks!
1192,1192,Careworks Tunkhannock,10 Trieble Dr.,Suite 3,Tunkhannock,PA,18657,570-996-2790
1193,1193,Careworks Clarks Summit,1020 Northern Blvd.,,Clarks Summit,PA,18411,570-587-2290
1194,1194,Careworks Lewistown,224 N. Logan Blvd.,Suite 220,Burnham,PA,17009,717-242-0196
1195,1195,Careworks Mountain Top,35 S. Mountain Blvd.,,Mountain Top,PA,18707,570-474-5847
1196,1196,Careworks Pittston,42 N. Main St.,,Pittston,PA,18640,570-602-5610
1197,1197,Careworks Scranton,3 W. Olive St.,,Scranton,PA,18508,570-207-4054
1198,1198,Careworks State College,1630 N. Atherton St.,,State College,PA,16803,814-238-1279
1199,1199,DEACTIVATED Careworks Tannersville,Route 611-Tannersville Plaza,,Tannersville,PA,18372,Visits cannot be scheduled online right now.
1200,1200,Careworks West Hazleton,6 Diana Ln.,,West Hazleton,PA,18202,570-501-3760
1201,1201,Careworks Wilkes-Barre,1155 E. Mountain Blvd.,,Wilkes-Barre,PA,18702,570-808-5135
1202,1202,Careworks Williamsport,1824 E. 3rd St.,,Williamsport,PA,17701,570-601-2200
1203,1203,DEACTIVATED Careworks Dallas,114 Lt. Michael Cleary Drive,,Dallas,PA,18612,Visits cannot be scheduled online right now.
1204,1204,DEACTIVATED Careworks Lock Haven,955 Bellefonte Avenue,,Lock Haven,PA,17745,Visits cannot be scheduled online right now.
1205,1205,DEACTIVATED DEACTIVATED Careworks Mount Pocono,126 Market Way ,,Mount Pocono,PA,18344,Visits cannot be scheduled online right now.
1206,1206,Careworks Tunkhannock,"10 Trieble Drive, Suite 3",,Tunkhannock,PA,18657,570-996-2790
1207,1207,DEACTIVATED MPG ENG DEARBORN (INACTIVE),TBD,,,,,Visits cannot be scheduled online right now.
1208,1208,DEACTIVATED MPG ENG DEARBORN,TBD,,,,,Visits cannot be scheduled online right now.
1209,1209,DEACTIVATED MPG ENG MCCALL STE C,2400 S MCCALL RD STE C,,ENGLEWOOD,FL,34224,Visits cannot be scheduled online right now.
1210,1210,DEACTIVATED MPG ENG MEDICAL DR,779 MEDICAL DR STE 6,,ENGLEWOOD,FL,34223,Visits cannot be scheduled online right now.
1211,1211,DEACTIVATED MPG NORTHPORT TAMIAMI,13815 TAMIAMI TRL,,NORTH PORT,FL,34287,Visits cannot be scheduled online right now.
1212,1212,DEACTIVATED MPG VENICE POINTE LOOP DR,8421 POINTE LOOP DR,,VENICE,FL,34293,Visits cannot be scheduled online right now.
1213,1213,DEACTIVATED MPG SARASOTA FRUITVILLE,3530 FRUITVILLE RD,,SARASOTA,FL,34237,Visits cannot be scheduled online right now.
1214,1214,DEACTIVATED MPG VENICE MIAMI AVE,333 MIAMI AVE W,,VENICE,FL,34285,Visits cannot be scheduled online right now.
1215,1215,DEACTIVATED MPG VENICE US HGWY 41 BYP,TBD,,,,,Visits cannot be scheduled online right now.
1216,1216,Emily Athena Environment,790 Huff Rd NW,,Atlanta,GA,30318,912-856-7929
1217,1217,DEACTIVATED Moscow Family Medicine,831 Ash,,Moscow,ID,83844,Visits cannot be scheduled online right now.
1218,1218,Hampton Bays,"80 East Montauk Highway, #101",,Hampton Bays,NY,11946,631-604-4022
1219,1219,E. 81st,1555 1st Avenue,Suite A,New York,NY,10028,212-897-1995
1220,1220,DEACTIVATED West Linn,"21900 Willamette Drive, Suite 209",,West Linn,OR,97068,Visits cannot be scheduled online right now.
1221,1221,Smithtown,"1 Miller Place, Suite C",,Smithtown,NY,11787,631-604-4024
1222,1222,Dobbs Ferry,30 Livingstone Avenue,,Dobbs Ferry,NY,10522,914-202-2944
1223,1223,North Beach,170 Columbus Avenue,,San Francisco,CA,94133,415-965-8050
1224,1224,Huntington Station,19 West Jericho Turnpike,,Huntington Station,NY,11746,631-604-4023
1225,1225,Redwood City,830 Jefferson&nbsp;Avenue,,Redwood City,CA,94063,650-381-0616
1226,1226,Xpress Wellness - Chickasha,411 W Grand Ave,,Chickasha,OK,73018,405-224-0053
1227,1227,CHKD Urgent Care-Tech Center,680 Oyster Point RD,,Newport News,VA,23602,(757) 668-4851
1228,1228,,,,,,,
1229,1229,DEACTIVATED MPG PC 3390 TAMIAMI,3390 TAMIAMI TRL STE 105,,PORT CHARLOTTE,FL,33952,Visits cannot be scheduled online right now.
1230,1230,DEACTIVATED MPG PC AARON N,2315 AARON ST,,PORT CHARLOTTE,FL,33952,Visits cannot be scheduled online right now.
1231,1231,DEACTIVATED MPG PC AARON N IV,2315 AARON ST,,PORT CHARLOTTE,FL,33952,Visits cannot be scheduled online right now.
1232,1232,DEACTIVATED MPG PC AARON S,2343 AARON ST,,PORT CHARLOTTE,FL,33952,Visits cannot be scheduled online right now.
1233,1233,DEACTIVATED MPG PC COCHRAN,19531 COCHRAN BLVD,,PORT CHARLOTTE,FL,33948,Visits cannot be scheduled online right now.
1234,1234,DEACTIVATED MPG PC LAURA,4265 LAURA ST,,PORT CHARLOTTE,FL,33980,Visits cannot be scheduled online right now.
1235,1235,DEACTIVATED MPG PC N TAMIAMI STE 201,3400 N TAMIAMI TRL,,PORT CHARLOTTE,FL,33952,Visits cannot be scheduled online right now.
1236,1236,DEACTIVATED MPG PC Tamiami Ste 2,3440 TAMIAMI TRL UNIT 2,,PORT CHARLOTTE,FL,33952,Visits cannot be scheduled online right now.
1237,1237,DEACTIVATED MPG PC TAMIAMI STE B,3611 TAMIAMI TRL,,PORT CHARLOTTE,FL,33952,Visits cannot be scheduled online right now.
1238,1238,DEACTIVATED Pediatric Urgent Care Center of North Texas,11550 Legacy Dr. St. 420,,Frisco,TX,75033,Visits cannot be scheduled online right now.
1239,1239,DEACTIVATED Juneau Urgent and Family Care,8505 Old Dairy RD,,Juneau,AK,99801,Visits cannot be scheduled online right now.
1240,1240,PhysicianOne Urgent Care - Waterbury (DEACTIVATED),920 Wolcott St Suite 19,,,,,203-574-1200
1241,1241,DEACTIVATED MPG BONITA PULMONARY/SLEEP,9400 BONITA BCH RD SE,,BONITA SPRINGS,FL,34135,Visits cannot be scheduled online right now.
1242,1242,DEACTIVATED Millennium Naples Endocrinology 8th St N,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1243,1243,DEACTIVATED MPG NAPLES CARDIOLOGY 8TH ST N,400 8TH STREET N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1244,1244,DEACTIVATED MPG NAPLES CARDIOLOGY BALD EAGLE,606 BALD EAGLE DRIVE,,MARCO ISLAND,FL,34145,Visits cannot be scheduled online right now.
1245,1245,DEACTIVATED MPG NAPLES GOODLETTE,681 GOODLETTE ROAD N,suite 130,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1246,1246,DEACTIVATED MPG NAPLES HEALTH PARK BLVD STE 3010,11181 HEALTH PARK BLVD,,NAPLES,FL,34110,Visits cannot be scheduled online right now.
1247,1247,DEACTIVATED MPG NAPLES NAPLES BLVD,5671 NAPLES BLVD,,NAPLES,FL,34109,Visits cannot be scheduled online right now.
1248,1248,DEACTIVATED MPG NAPLES PULMONAR/SLEEP MED,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1249,1249,DEACTIVATED MPG NAPLES VANDERBILT,2350 VANDERBILT BEACH ROAD,,NAPLES,FL,34109,Visits cannot be scheduled online right now.
1250,1250,DEACTIVATED MPG NMC CARDIOLOGY,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1251,1251,DEACTIVATED MPG NMC COLLIER,977 N COLLIER BLVD,,MARCO ISLAND,FL,34145,Visits cannot be scheduled online right now.
1252,1252,DEACTIVATED Millennium NMC 400 8th St,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1253,1253,DEACTIVATED MPG NMC ENDOCRINOLOGY,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1254,1254,DEACTIVATED MPG NMC ENT,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1255,1255,DEACTIVATED MPG NMC FP BOYNTON,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1256,1256,DEACTIVATED MPG NMC FP SCOTT,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1257,1257,DEACTIVATED MPG NMC FQ,501 GOODLETTE RD STE 100A,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1258,1258,DEACTIVATED MPG NMC  HEALTHPARK,11181 HEALTH PARK BLVD STE 3000,,NAPLES,FL,34110,Visits cannot be scheduled online right now.
1259,1259,DEACTIVATED MPG NMC IM GALBUT,TBD,,,,,Visits cannot be scheduled online right now.
1260,1260,DEACTIVATED MPG NMC IM SHIELDS,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1261,1261,DEACTIVATED MPG NMC MARCO,606 BALD EAGLE DR STE 302,,MARCO ISLAND,FL,34145,Visits cannot be scheduled online right now.
1262,1262,DEACTIVATED MPG NMC ORTHOPEDICS,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1263,1263,DEACTIVATED MPG NMC PEDIATRICS,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1264,1264,DEACTIVATED (SC) MPG NMC Walk In ,400 8TH ST N,,NAPLES,FL,34102,Visits cannot be scheduled online right now.
1265,1265,DEACTIVATED MPG NMC WP,6610 WILLOW PARK DR STE 101,,NAPLES,FL,34109,Visits cannot be scheduled online right now.
1266,1266,DEACTIVATED Glastonbury,2928 Main Street,,Glastonbury,CT,06033,Visits cannot be scheduled online right now.
1267,1267,FAIRHAVEN,208 Mill Road,,Fairhaven,MA,02719,508-973-2432
1268,1268,WAREHAM,Wareham Crossing 2421 Cranberry Highway,,Wareham,MA,02571,508-273-1810
1269,1269,DEACTIVATED Hobson - Parkview FirstCare Walk-In Clinic ,1515 Hobson Road,,Fort Wayne,IN,46804,Visits cannot be scheduled online right now.
1270,1270,DEACTIVATED Hurley Urgent Care,1 Hurley Plaza,,Flint,MI,48503,Visits cannot be scheduled online right now.
1271,1271,DEACTIVATED MD Anderson - Ambulatory Treatment Center R-2 ,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1272,1272,DEACTIVATED  Liberty Mills - Parkview FirstCare Walk-In Clinic,8911 Liberty Mills Road,,Fort Wayne,IN,46804,Visits cannot be scheduled online right now.
1273,1273,X-Ray Services,9733 Healthway Dr.,,Berlin,MD,21811,Visits cannot be scheduled online right now.
1274,1274,DEACTIVATED New Haven - Parkview FirstCare Walk-In Clinic,1331 Minnich Road,,New Haven,IN,46774,Visits cannot be scheduled online right now.
1275,1275,DEACTIVATED New Vision - Parkview FirstCare Walk-In Clinic,3909 New Vision Drive,,Fort Wayne,IN,46845,Visits cannot be scheduled online right now.
1276,1276,MedStar PromptCare - Adams Morgan,1805 Columbia Rd. NW,,Washington,DC,20009,202-797-4960
1277,1277,MedStar PromptCare - Alexandria,3610 King St.,,Alexandria,VA,22302,703-845-2815
1278,1278,MedStar PromptCare - Capitol Hill,228 7th St. SE,,Washington,DC,20003,202-698-0795
1279,1279,MedStar PromptCare - Chevy Chase,5454 Wisconsin Ave.,,Chevy Chase,MD,20815,301-215-9440
1280,1280,MedStar PromptCare - Hyattsville,"6401 America Blvd., Suite 200",,Hyattsville,MD,20782,301-276-8800
1281,1281,MedStar PromptCare - Wheaton,11915 Georgia Ave.,,Wheaton,MD,20902,301-942-4505
1282,1282,Vail Valley Test Clinic,111 Main St.,,Anytown,CA,90210,555-555-5555
1283,1283,Doctors Care - Virtual Queue Demo,2126 North Hwy 81,,Anderson,SC,29261,864-226-2660
1284,1284,CRMA Adult Urgent Care,"Crown Building  463 Worcester Rd., Suite 206 ",(Rt. 9 Westbound) ,Framingham,MA,01701,508-665-4393
1285,1285,DEACTIVATED DEMO - Millennium Health Corp,"6321 Daniels Pkwy, Suite 200",,Fort Myers,FL,33912,Visits cannot be scheduled online right now.
1286,1286,DEACTIVATED Benchmark Urgent &amp; Family Care,3100 Red River St,Suite 3,Austin,TX,78705,Visits cannot be scheduled online right now.
1287,1287,DEACTIVATED Benchmark Urgent &amp; Family Care,4517 Veterans Memorial Blvd,,Metairie,LA,70006,Visits cannot be scheduled online right now.
1288,1288,DEACTIVATED Benchmark Urgent &amp; Family Care,4345 Arden Way,,Sacramento,CA,95864,Visits cannot be scheduled online right now.
1289,1289,DEACTIVATED East Round Rock ,"3750 Gattis School Road, #900",,Round Rock ,TX,78664,Visits cannot be scheduled online right now.
1290,1290,DEACTIVATED Cedar Park,"905 East Whitestone Blvd, Suite B",,Cedar Park,TX,78613,Visits cannot be scheduled online right now.
1291,1291,DEACTIVATED Gynocological Oncology,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1292,1292,DEACTIVATED MD Anderson - Internal Medicine Center (ACB-6),1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1293,1293,DEACTIVATED MD Anderson - Center for Reconstructive Surgery,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1294,1294,Sinai Hospital ED,2401 W Belvedere Ave,,Baltimore,MD,21215,Visits cannot be scheduled online right now.
1295,1295,Aurora Urgent Care Two Rivers,2219 Garfield St.,,Two Rivers,WI,54241,920-793-7000
1296,1296,BayCare Labs - Van Dyke,"4091 Van Dyke Road, Suite 102",,Lutz,FL,33558,800-324-7853
1297,1297,BayCare Labs - Carillon,900 Carillon Pkwy.,,St. Petersburg,FL,33716,800-324-7853
1298,1298,BayCare Labs - Countryside,"1840 Mease Dr., Suite 101",,Safety Harbor,FL,34695,800-324-7853
1299,1299,BayCare Labs - River Crossing,8603 Easthaven Court,,New Port Richey,FL,34655,800-324-7853
1300,1300,BayCare Labs - Trinity,"2102 Trinity Oaks Blvd, Ste. 203",,New Port Richey,FL,34655,800-324-7853
1301,1301,BayCare Labs - Dunedin,"646 Virginia St., Suite 202",,Dunedin,FL,34698,800-324-7853
1302,1302,BayCare Labs - Cheek-Powell,"455 Pinellas Street, 2nd Floor",,Clearwater ,FL,33756,800-324-7853
1303,1303,BayCare Labs - Riverview,10141 Big Bend Road,,Riverview,FL,33578,800-324-7853
1304,1304,BayCare Labs - Palm Harbor,"3890 Tampa Road, 1st Floor",,Palm Harbor,FL,34684,800-324-7853
1305,1305,BayCare Labs - Suncoast Oncology Infusion,620 10th St. N.,2nd Floor,St. Petersburg,FL,33705,800-324-7853
1306,1306,BayCare Labs - Plant City,"1601 Timberlane Drive, Suite 800",,Plant City,FL,33567,800-324-7853
1307,1307,BayCare Labs at BayCare Urgent Care (Valrico),2016 E. Brandon Blvd,,Valrico,FL,33594,800-324-7853
1308,1308,"At DEACTIVATED Baycare Blood Mobile , you can skip the wait. Just choose the timeyou'd like to come in, and we'll hold your spot.",,,,,,
1309,1309,DEACTIVATED Winter Haven Hospital Community Blood Center,460 First Street,,Winter Haven,FL,33881,Visits cannot be scheduled online right now.
1310,1310,BayCare Labs at St. Joseph's Hospital Medical Arts Bldg.,3003 W. MLK Jr. Blvd,1st Floor,Tampa,FL,33607,800-324-7853
1311,1311,FastMed Valencia (Sandbox),1895 W Valencia Rd. Ste 101 ,,Tucson,AZ,85746,520-576-5104
1312,1312,DEACTIVATED Clio Urgent Care,4272 W. Vienna Rd,,Clio,MI,48420,Visits cannot be scheduled online right now.
1313,1313,DEACTIVATED Pine Knob Urgent Care,6310 Sashabaw Rd. Ste. C,,Clarkston,MI,48346,Visits cannot be scheduled online right now.
1314,1314,Friendswood,1505 E. Winding Way Dr,Ste. 112,Friendswood,TX,77546,281-993-3860
1315,1315,Telfair,1227 Museum Square Dr,Ste. A,Sugar Land,TX,77479,281-265-8125
1316,1316,Washington,4500 Washington Ave,Ste. 100,Houston,TX,77007,713-861-6490
1317,1317,Clear Lake,19419 Gulf Fwy ,"Suite 3, Dept. 100",Webster,TX,77598,281-316-0885
1318,1318,Spring,19711 Stuebner Airline Rd,Ste. 1,Spring,TX,77379,832-658-5450
1319,1319,Fulshear,5102 FM 1463 ,#1200,Katy,TX,77494,281-574-1104
1320,1320,Default Setting,3423 Piedmont Road NE,,Atlanta,GA,30305,800-729-1363
1321,1321,Valley Health Quick Care - Strasburg,33820 Old Valley Pike,,Strasburg,VA,22641,540-459-1310
1322,1322,DEACTIVATED Ridgefield ,10 South Street Suite101,,Ridgefield,CT,06877,Visits cannot be scheduled online right now.
1323,1323,DEACTIVATED Hamden,2165 Dixwell Ave,,Hamden,CT,06514,Visits cannot be scheduled online right now.
1324,1324,DEACTIVATED Chestnut Hill ,1210 Boylston Street,,Chestnut Hill,MA,02467,Visits cannot be scheduled online right now.
1325,1325,DEACTIVATED Groton,220 Rt 12,,Groton,CT,06340,Visits cannot be scheduled online right now.
1326,1326,DEACTIVATED Norwalk ,346 Main Ave,,Norwalk,CT,06851,Visits cannot be scheduled online right now as we are currently at capacity for the day. 
1327,1327,DEACTIVATED Waltham ,1019 Trapelo Road,,Waltham,MA,02452,Visits cannot be scheduled online right now.
1328,1328,DEACTIVATED Norwich,607 West Main Street,,Norwich,CT,06360,Visits cannot be scheduled online right now.
1329,1329,DEACTIVATED Somers,80 Route 6 Suite 704-705,,Somers,NY,10505,Visits cannot be scheduled online right now.
1330,1330,DEACTIVATED Newtown,266 South Main Street,,Newtown,CT,06470,Visits cannot be scheduled online right now.
1331,1331,DEACTIVATED Southbury ,900 Main Street South,,Southbury,CT,06488,Visits cannot be scheduled online right now.
1332,1332,DEACTIVATED Brookfield ,31 Old Rt 7,,Brookfield,CT,06804,
1333,1333,DEACTIVATED Orange,521 Boston Post Rd,,Orange,CT,06477,"On Sunday, December 16, our Orange center will be closed. Our Derby and Hamden centers will be open 9:00 to 5:00pm, should you need us. Thank you.  "
1334,1334,DEACTIVATED Waterbury ,920 Wolcott St Suite 19,,Waterbury,CT,06705,Visits cannot be scheduled online right now.
1335,1335,DEACTIVATED StatHealth NY (DEMO),519 W Jericho Turnpike,,Smithtown,NY,11787,Visits cannot be scheduled online right now.
1336,1336,Veterinary Urgent Care Center ,291 Quincy Ave,,Quincy ,MA,02169,617-481-5197
1337,1337,CareXpress Canyon,911 23rd St,,Canyon,TX,79015,806-655-2104
1338,1338,DEACTIVATED BSA Urgent Care,4510 Bell Street,,Amarillo,TX,79109,Visits cannot be scheduled online right now.
1339,1339,BSA CareXpress Downtown,1400 S. Van Buren St,,Amarillo ,TX,79101,806-337-4555
1340,1340,BSA CareXpress Ross-Osage,2329 Ross-Osage St. ,,Amarillo,TX,79102,806-350-5790
1341,1341,BSA CareXpress Georgia,2701 S Georgia St.,,Amarillo,TX,79109,806-350-3000
1342,1342,BSA CareXpress Summit,"7306 SW 34th Avenue, Unit 3",,Amarillo,TX,79121,806-350-3010
1343,1343,Please select a time slot below for your DEACTIVATED Dearborn Corporate Wellness Visit! You will receive text messages to confirm your visit and remind you to come in 15 minutes before your selected time.  ,,,,,,
1344,1344,MedStar PromptCare - Perry Hall,8605 Ridgely's Choice Dr.,,Perry Hall,MD,21236,410-248-2310
1345,1345,MedStar PromptCare - Towson,6317 York Rd.,,Baltimore,MD,21212,443-777-6890
1346,1346,Emerson Urgent Care at Hudson,38 Highland Commons East,,Hudson,MA,01749,978-287-8990
1347,1347,DEACTIVATED OrthoNY Urgent Care,121 Everett Road,,Albany,NY,12205,Visits cannot be scheduled online right now.
1348,1348,Basin,"3737 Shasta Way, Suite A",,Klamath Falls,OR,97603,541-883-2337
1349,1349,DEACTIVATED MD Anderson - Cardiopulmonary Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1350,1350,DEACTIVATED MD Anderson - Internal Medicine Center (R6),1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1351,1351,DEACTIVATED MD Anderson - Anesthesia Assessment Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1352,1352,DEACTIVATED MD Anderson - Endoscopy Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1353,1353,DEACTIVATED MD Anderson - Pheresis Clinic,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1354,1354,DEACTIVATED MD Anderson - Stem Cell Transplant Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1355,1355,DEACTIVATED MD Anderson - Child &amp; Adolescent Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1356,1356,DEACTIVATED MD Anderson - Pediatric Ambulatory Treatment Center (PATC),1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1357,1357,"DEACTIVATED MD Anderson - Infusion Therapy &amp; Wound, Ostomy Center (Main)",1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1358,1358,1-Magnolia/Woodlands ,6022 FM 1488,,Magnolia,TX,77354,(281) 583-1980
1359,1359,Midtown ,450 14th Street NW,,Atlanta,GA,30318,(404) 480-9797
1360,1360,,,,,,,
1361,1361,,,,,,,
1362,1362,,,,,,,
1363,1363,Berkshire Health Urgent Care Sandbox,505 East Street,,Pittsfield,MA,01201,413-997-0930
1364,1364,Hackensack Meridian Health Urgent Care - Brick,2125 Route 88 East,,Brick ,NJ,08724,732-892-4640
1365,1365,Hunterdon HealthCare Urgent Care at Raritan,"45 Route 206 South, Suite F",,Raritan,NJ,08869,908-237-4122
1366,1366,DEACTIVATED Ascension Demo,21000 E. 12 Mile Rd.,Suite 105,St. Clair Shores,MI,48081,Visits cannot be scheduled online right now.
1367,1367,Sisters of Mercy Urgent Care West,1201 Patton Avenue,,Asheville,NC,28806,(828) 398-3525
1368,1368,Tyrone,1599 66th St N,,St. Petersburg,FL,33710,727-317-3388
1369,1369,Jason's Sandbox,1662 W Rugby Ave,,College Park,GA,30337,800-729-1363
1370,1370,DEACTIVATED Brooklyn Urgent Care Utica (SUSPENDED),256 Utica Avenue,,Brooklyn ,NY,11213,Visits cannot be scheduled online right now.
1371,1371,"APDerm® - Concord, MA (Nuggets Testing)",54 Baker Ave Ext,Suites 305 &amp; 306,Concord,MA,01742,(978) 371-7010
1372,1372,ExperCare Urgent Care - Richmond Hill,60 Exchange St.  Suite B-7,,Richmond Hill,GA,31324,912-756-2273
1373,1373,,,,,,,
1374,1374,"DEACTIVATED MD Anderson - Infusion Therapy &amp; Wound, Ostomy Center (Mays)",1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1375,1375,Brookhaven ,4400 Peachtree Road NE,,Brookhaven,GA,30319,(404) 814-9199
1376,1376,Athens ,1480 Baxter Street,Suite A,Athens,GA,30606,(706) 543-0228
1377,1377,Decatur North ,1829 Lawrenceville Highway,,Decatur,GA,30033,(404) 292-8335
1378,1378,Roswell ,540 E Crossville Rd. ,Suite 210,Roswell,GA,30075,(770) 510-1850
1379,1379,Ocean City,10th St.,,Ocean City,MD,21842,(410) 289-6241
1380,1380,Kid Clinic Test Demo ,800 S Butler Spaeth Road,,Gillette,WY,82716,Visits cannot be scheduled online right now.
1381,1381,PIC Test Demo ,1702 North Milwaukee Ave,,Chicago,IL,60647,773-770-4056
1382,1382,Mullberry Urgent Care, 442 E Union Grove Circle,,Auburn,GA,30011,(678) 226-7460
1383,1383,DEACTIVATED Do not use,10555 SE Carr Rd,,Renton,WA,98055,Visits cannot be scheduled online right now.
1384,1384,Maple Valley Urgent Care,26458 Maple Valley Black Diamond Dr. SE,,Maple Valley,WA,98038,425-690-3465
1385,1385,Newcastle Urgent Care (DEACTIVATED),7203 129th Ave SE Ste 200,,Newcastle,WA,98056,Visits cannot be scheduled online right now.
1386,1386,Covington Urgent Care ,27500 168th Place SE,,Covington,WA,98042,425-690-3435
1387,1387,UNC Urgent Care at Cary,115 Kildaire Park Drive; Ste 101,,Cary,NC,27518,919-387-3180
1388,1388,UNC Urgent Care at Holly Springs,781 Avent Ferry Road; Ste 102,,Holly Springs,NC,27540,919-567-6120
1389,1389,UNC Urgent Care at Knightdale,6602 Knightdale Boulevard; Ste 102,,Knightdale,NC,24545,919-747-5210
1390,1390,UNC Urgent Care at Raleigh,3050 Duraleigh Rd; Ste 111,,Raleigh,NC,27612,984-215-6990
1391,1391,UNC Urgent Care at Wakefield,11200 Governor Manly Way; Ste. 114,,Raleigh,NC,27614,919-570-7660
1392,1392,DEACTIVATED MD Anderson - Clinical Center for Targeted Therapy,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1393,1393,DEACTIVATED MD Anderson - Pain Management Center,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1394,1394,DEACTIVATED MD Anderson - Rehabilitation Services,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1395,1395,DEACTIVATED MD Anderson - Bone Marrow Aspiration Clinic,1515 Holcombe Blvd.,,Houston ,TX,77030,Visits cannot be scheduled online right now.
1396,1396,DEACTIVATED MHMG Katy,23920 Katy Fwy,STE 500,Katy,TX,77494,Visits cannot be scheduled online right now.
1397,1397,OrthoAtlanta - Fayetteville (Nuggets Testing),"1265 Hwy 54 West, Suite 102",,Fayetteville,GA,30214,Visits cannot be scheduled online right now.
1398,1398,ACL – Aurora West Allis Medical Center,"2400 S. 90th Street, Suite M100",,West Allis,WI,53227,Visits cannot be scheduled online right now.
1399,1399,ACL - Aurora St. Luke's Medical Center,2801 W. Kinnickinnic River Parkway #325,,Milwaukee,WI,53215,Visits cannot be scheduled online right now.
